,triple,doc_list,unique_doc,doc_count
1110,382 dose second,[207.0],[207.0],1
1111,382 dose transcriptase-polymerase,[207.0],[207.0],1
1112,382 receive 206,[207.0],[207.0],1
1113,382 receive 261,[207.0],[207.0],1
1114,382 receive 361,[207.0],[207.0],1
1115,382 receive 844,[207.0],[207.0],1
1116,382 receive 946,[207.0],[207.0],1
1117,382 receive alum-only,[207.0],[207.0],1
1118,382 receive men,[207.0],[207.0],1
1119,382 receive second,[207.0],[207.0],1
1120,382 receive transcriptase-polymerase,[207.0],[207.0],1
1121,387 compare pvmsp1,[232.0],[232.0],1
1122,387 infect 750,[232.0],[232.0],1
1123,387 infect falciparum-,[232.0],[232.0],1
1124,387 infect malariae-,[232.0],[232.0],1
1125,387 infect vivax-,[232.0],[232.0],1
1126,387 provide mrna-1273,[352.0],[352.0],1
1127,387 provide one,[352.0],[352.0],1
1128,387 provide recipient,[352.0],[352.0],1
1129,387 provide symptom,[352.0],[352.0],1
1130,387 provide vaccine,[352.0],[352.0],1
1131,396 collect hadv,[42.0],[42.0],1
1132,396 collect hadvs,[42.0],[42.0],1
1133,396 test 137,[42.0],[42.0],1
1134,396 test hadv,[42.0],[42.0],1
1135,396 test hadvs,[42.0],[42.0],1
1136,396 test patient,[42.0],[42.0],1
1137,396 test singapore,[42.0],[42.0],1
1138,3976 activate aprv,[203.0],[203.0],1
1139,3976 relate 5959,[203.0],[203.0],1
1140,3976 relate aprv,[203.0],[203.0],1
1141,398 infect 171,[417.0],[417.0],1
1142,398 infect 225,[417.0],[417.0],1
1143,398 infect 420,[417.0],[417.0],1
1144,398 infect 620,[417.0],[417.0],1
1145,398 infect s2,[417.0],[417.0],1
1146,398 infect vaccine,[417.0],[417.0],1
1147,398 vaccinate 171,[417.0],[417.0],1
1148,398 vaccinate 225,[417.0],[417.0],1
1149,398 vaccinate 620,[417.0],[417.0],1
1150,398 vaccinate s2,[417.0],[417.0],1
1151,398 vaccinate vaccine,[417.0],[417.0],1
1152,4 use 458,[207.0],[207.0],1
1153,4 use alum,[207.0],[207.0],1
1154,4 use aluminum hydroxide,[207.0],[207.0],1
1155,400 collect child,[197.0],[197.0],1
1156,400 collect influenza,[197.0],[197.0],1
1157,400 collect strep,[197.0],[197.0],1
1158,400 observe diphtheria,[422.0],[422.0],1
1159,400 observe igg,[422.0],[422.0],1
1160,400 observe pneumoniae,[422.0],[422.0],1
1161,400 observe streptococcus,[422.0],[422.0],1
1162,400 observe tetanus,[422.0],[422.0],1
1163,400 observe vaccine,[422.0],[422.0],1
1164,408 adjust 4196,[466.0],[466.0],1
1165,408 adjust acute,[466.0],[466.0],1
1166,408 adjust acute cardiovascular,[466.0],[466.0],1
1167,408 adjust respiratory infection,[466.0],[466.0],1
1168,409 associate cancer,[269.0],[269.0],1
1169,409 associate survivor,[269.0],[269.0],1
1170,409 test 216,[269.0],[269.0],1
1171,409 test 243,[269.0],[269.0],1
1172,409 test 8805,[269.0],[269.0],1
1173,409 test cancer,[269.0],[269.0],1
1174,409 test survivor,[269.0],[269.0],1
1175,414 receive moderna,[19.0],[19.0],1
1176,414 receive vaccine,[19.0],[19.0],1
1177,416 associate cancer,[269.0],[269.0],1
1178,416 associate survivor,[269.0],[269.0],1
1179,416 test 216,[269.0],[269.0],1
1180,416 test 243,[269.0],[269.0],1
1181,416 test 8805,[269.0],[269.0],1
1182,416 test cancer,[269.0],[269.0],1
1183,416 test survivor,[269.0],[269.0],1
1184,417 receive alum-only,[207.0],[207.0],1
1185,417 receive hb02,[207.0],[207.0],1
1186,417 receive wiv04,[207.0],[207.0],1
1187,41c8baorghighwiredtldtlvardef vaccinate post-kala-azar,[469.0],[469.0],1
1188,420 vaccinate 171,[417.0],[417.0],1
1189,420 vaccinate 225,[417.0],[417.0],1
1190,420 vaccinate 620,[417.0],[417.0],1
1191,420 vaccinate s2,[417.0],[417.0],1
1192,420 vaccinate vaccine,[417.0],[417.0],1
1193,421 treat patient,[139.0],[139.0],1
1194,422 associate cancer,[269.0],[269.0],1
1195,422 associate survivor,[269.0],[269.0],1
1196,422 test 216,[269.0],[269.0],1
1197,422 test 243,[269.0],[269.0],1
1198,422 test 8805,[269.0],[269.0],1
1199,422 test cancer,[269.0],[269.0],1
1200,422 test survivor,[269.0],[269.0],1
1201,424 relate covid-19,[214.0],[214.0],1
1202,424 relate diabetes,[214.0],[214.0],1
1203,424 relate heart,[214.0],[214.0],1
1204,424 relate high-risk,[214.0],[214.0],1
1205,424 relate immunization,[214.0],[214.0],1
1206,424 relate obesity,[214.0],[214.0],1
1207,424 relate vaccine,[214.0],[214.0],1
1208,424 test 259,[263.0],[263.0],1
1209,424 test woman,[263.0],[263.0],1
1210,425 develop autoimmune,[57.0],[57.0],1
1211,425 develop malignancy,[57.0],[57.0],1
1212,425 develop p009,[57.0],[57.0],1
1213,425 develop solid organ,[57.0],[57.0],1
1214,425 dose p009,[57.0],[57.0],1
1215,425 increase autoimmune,[57.0],[57.0],1
1216,425 increase p009,[57.0],[57.0],1
1217,425 match 141,"[260.0, 260.0]",[260.0],1
1218,425 provide mrna-1273,[352.0],[352.0],1
1219,425 provide one,[352.0],[352.0],1
1220,425 provide recipient,[352.0],[352.0],1
1221,425 provide symptom,[352.0],[352.0],1
1222,425 provide vaccine,[352.0],[352.0],1
1223,425 receive symptom,[353.0],[353.0],1
1224,4286 induce infection,[277.0],[277.0],1
1225,4286 infect infection,"[277.0, 277.0]",[277.0],1
1226,4286 receive infection,[277.0],[277.0],1
1227,4290 test siemens-healthineers,[125.0],[125.0],1
1228,432 compare beggs,[343.0],[343.0],1
1229,432 compare egger,[343.0],[343.0],1
1230,432 receive symptom,[353.0],[353.0],1
1231,4321116 provide mrna-1273,[352.0],[352.0],1
1232,4321116 provide one,[352.0],[352.0],1
1233,4321116 provide recipient,[352.0],[352.0],1
1234,4321116 provide symptom,[352.0],[352.0],1
1235,4321116 provide vaccine,[352.0],[352.0],1
1236,441 test 141,[263.0],[263.0],1
1237,441 test 259,"[263.0, 263.0]",[263.0],1
1238,441 test 3135,[263.0],[263.0],1
1239,441 test 424,[263.0],[263.0],1
1240,441 test 497,[263.0],[263.0],1
1241,441 test men,[263.0],[263.0],1
1242,441 test woman,"[263.0, 263.0]",[263.0],1
1243,45-fold neutralize 16-fold,[435.0],[435.0],1
1244,45-fold neutralize b1351,[435.0],[435.0],1
1245,45-fold neutralize neutralizing-antibody,[435.0],[435.0],1
1246,45-fold show neutralizing-antibody,[435.0],[435.0],1
1247,450 make aerosol-generating,[22.0],[22.0],1
1248,450 make anesthesia,[22.0],[22.0],1
1249,450 make cov2,[22.0],[22.0],1
1250,450 make covid,[22.0],[22.0],1
1251,450 make sars,[22.0],[22.0],1
1252,450 make valdecilla,[22.0],[22.0],1
1253,452 receive 550,[258.0],[258.0],1
1254,452 receive patient,[258.0],[258.0],1
1255,456 dose 15-ÃÃÃÂµg,[236.0],[236.0],1
1256,456 dose 319-425,[236.0],[236.0],1
1257,456 dose 347,[236.0],[236.0],1
1258,456 dose swelling,[236.0],[236.0],1
1259,456 enrol 147,[65.0],[65.0],1
1260,456 enrol ae37,[65.0],[65.0],1
1261,456 enrol cg,"[65.0, 65.0]",[65.0],1
1262,456 enrol gp2,[65.0],[65.0],1
1263,456 enrol patient,"[65.0, 65.0]",[65.0],1
1264,4571 need 2935,[78.0],[78.0],1
1265,4571 need fv,[78.0],[78.0],1
1266,4573 age 0-4,[25.0],[25.0],1
1267,4573 age 320,[25.0],[25.0],1
1268,4573 age 560,[25.0],[25.0],1
1269,4573 age 672,[25.0],[25.0],1
1270,4573 age 680,[25.0],[25.0],1
1271,4573 age medicaid,[25.0],[25.0],1
1272,4573 hospitalize 0-4,[25.0],[25.0],1
1273,4573 hospitalize 320,[25.0],[25.0],1
1274,4573 hospitalize 560,[25.0],[25.0],1
1275,4573 hospitalize 672,[25.0],[25.0],1
1276,4573 hospitalize 680,[25.0],[25.0],1
1277,4573 hospitalize medicaid,[25.0],[25.0],1
1278,4573 hospitalize patient,[25.0],[25.0],1
1279,459 use 458,[207.0],[207.0],1
1280,459 use alum,[207.0],[207.0],1
1281,459 use aluminum hydroxide,[207.0],[207.0],1
1282,460 increase 187,[492.0],[492.0],1
1283,460 increase 192,[492.0],[492.0],1
1284,460 increase 663,[492.0],[492.0],1
1285,460 increase obesity,[492.0],[492.0],1
1286,460 increase one,[492.0],[492.0],1
1287,4600 do 3599,[490.0],[490.0],1
1288,4600 do 9542,[490.0],[490.0],1
1289,4600 do 9702,[490.0],[490.0],1
1290,4600 do family,[490.0],[490.0],1
1291,464 infect sars-cov-2,[477.0],[477.0],1
1292,465 induce 415,[180.0],[180.0],1
1293,465 receive 415,[180.0],[180.0],1
1294,465 receive 507,[180.0],[180.0],1
1295,465 receive alum-only,[207.0],[207.0],1
1296,465 receive hb02,[207.0],[207.0],1
1297,465 receive wiv04,[207.0],[207.0],1
1298,466 evaluate convalescent,[257.0],[257.0],1
1299,466 evaluate serum,[257.0],[257.0],1
1300,469 establish 243,[378.0],[378.0],1
1301,469 include 243,[378.0],[378.0],1
1302,469 include child,[378.0],[378.0],1
1303,473 345 receive ncov-19,[477.0],[477.0],1
1304,473 vary igg,[16.0],[16.0],1
1305,475 consider 341,[142.0],[142.0],1
1306,475 modify 277,[142.0],[142.0],1
1307,475 modify 341,[142.0],[142.0],1
1308,475 modify 489,[142.0],[142.0],1
1309,477 confirm 740,[407.0],[407.0],1
1310,481 decline 267,[296.0],[296.0],1
1311,481 decline allergic,[296.0],[296.0],1
1312,489 consider 341,[142.0],[142.0],1
1313,491 belong gi-24,[113.0],[113.0],1
1314,491 belong gv,[113.0],[113.0],1
1315,491 belong india,[113.0],[113.0],1
1316,491 belong isolate,[113.0],[113.0],1
1317,491 belong one,[113.0],[113.0],1
1318,491 belong three,[113.0],[113.0],1
1319,491 group gi-24,[113.0],[113.0],1
1320,493 reflect diabetic,[377.0],[377.0],1
1321,494 receive tcga,[475.0],[475.0],1
1322,4cmenb base commensal,[160.0],[160.0],1
1323,4cmenb base neisseria,[160.0],[160.0],1
1324,4cmenb vaccinate capsular,[160.0],[160.0],1
1325,4cmenb vaccinate commensal,[160.0],[160.0],1
1326,4cmenb vaccinate neisseria,[160.0],[160.0],1
1327,4heparin induce cerebral,[403.0],[403.0],1
1328,4heparin induce covid-19,[403.0],[403.0],1
1329,4heparin induce thrombosis,[403.0],[403.0],1
1330,5-11 become person,[34.0],[34.0],1
1331,5-year test hcw,[151.0],[151.0],1
1332,50 increase nab,[443.0],[443.0],1
1333,50 increase p,[443.0],[443.0],1
1334,50 increase tea,[443.0],[443.0],1
1335,500 treat boulardiikg,[86.0],[86.0],1
1336,501 use sars-cov-2,"[491.0, 491.0]",[491.0],1
1337,501yv2 develop adult,[495.0],[495.0],1
1338,501yv2 develop africa,[495.0],[495.0],1
1339,501yv2 develop covid-19,[495.0],[495.0],1
1340,501yv2 develop infection,[495.0],[495.0],1
1341,501yv2 develop plasma,[495.0],[495.0],1
1342,501yv2 develop south,[495.0],[495.0],1
1343,501yv2 develop two,[495.0],[495.0],1
1344,501yv2 reduce africa,[495.0],[495.0],1
1345,501yv2 reduce covid-19,[495.0],[495.0],1
1346,501yv2 reduce infection,[495.0],[495.0],1
1347,501yv2 reduce south,[495.0],[495.0],1
1348,501yv2 reduce two,[495.0],[495.0],1
1349,517 vaccinate 172,[148.0],[148.0],1
1350,517 vaccinate cpv-2a,[148.0],[148.0],1
1351,517 vaccinate one,[148.0],[148.0],1
1352,517 vaccinate two,[148.0],[148.0],1
1353,521 induce covid-19,[193.0],[193.0],1
1354,525 263 receive 216,[98.0],[98.0],1
1355,525 263 receive igg,[98.0],[98.0],1
1356,525 263 receive virus-specific,[98.0],[98.0],1
1357,526 treat patient,[139.0],[139.0],1
1358,527 describe 168,[335.0],[335.0],1
1359,527 describe 319,[335.0],[335.0],1
1360,527 describe 359,[335.0],[335.0],1
1361,527 describe 681,[335.0],[335.0],1
1362,529 receive brain,[356.0],[356.0],1
1363,529 receive tcga,[356.0],[356.0],1
1364,533 collect hadv,[42.0],[42.0],1
1365,533 collect hadvs,[42.0],[42.0],1
1366,533 test 137,[42.0],[42.0],1
1367,533 test hadv,[42.0],[42.0],1
1368,533 test hadvs,[42.0],[42.0],1
1369,533 test patient,[42.0],[42.0],1
1370,533 test singapore,[42.0],[42.0],1
1371,5366 bind 466,[257.0],[257.0],1
1372,5366 bind convalescent,[257.0],[257.0],1
1373,5366 bind serum,[257.0],[257.0],1
1374,5366 evaluate convalescent,[257.0],[257.0],1
1375,5366 evaluate serum,[257.0],[257.0],1
1376,545 reduce 112,[218.0],[218.0],1
1377,545 reduce 220,[218.0],[218.0],1
1378,545 reduce 441,[218.0],[218.0],1
1379,545 test cough,[210.0],[210.0],1
1380,545 test headache,[210.0],[210.0],1
1381,545 test rhinorrhea,[210.0],[210.0],1
1382,545 test sore,[210.0],[210.0],1
1383,545 test symptom,[210.0],[210.0],1
1384,545 test throat,[210.0],[210.0],1
1385,548 associate cancer,[269.0],[269.0],1
1386,548 associate survivor,[269.0],[269.0],1
1387,548 test 216,[269.0],[269.0],1
1388,548 test 243,[269.0],[269.0],1
1389,548 test 8805,[269.0],[269.0],1
1390,548 test cancer,[269.0],[269.0],1
1391,548 test survivor,[269.0],[269.0],1
1392,55-fold show patient,[100.0],[100.0],1
1393,553 dose vaccine,[105.0],[105.0],1
1394,564 associate cancer,[269.0],[269.0],1
1395,564 associate survivor,[269.0],[269.0],1
1396,564 test 216,[269.0],[269.0],1
1397,564 test 243,[269.0],[269.0],1
1398,564 test 8805,[269.0],[269.0],1
1399,564 test cancer,[269.0],[269.0],1
1400,564 test survivor,[269.0],[269.0],1
1401,569 range men,[76.0],[76.0],1
1402,579 associate cancer,[269.0],[269.0],1
1403,579 associate survivor,[269.0],[269.0],1
1404,579 test 216,[269.0],[269.0],1
1405,579 test 243,[269.0],[269.0],1
1406,579 test 8805,[269.0],[269.0],1
1407,579 test cancer,[269.0],[269.0],1
1408,579 test survivor,[269.0],[269.0],1
1409,5790 treat patient,[139.0],[139.0],1
1410,5th confirm antibody,[97.0],[97.0],1
1411,6 test b1351,[95.0],[95.0],1
1412,6 test d614g,[95.0],[95.0],1
1413,6- collect covaxin,[60.0],[60.0],1
1414,6-7 boost 8-9,[5.0],[5.0],1
1415,6-7 boost p002,[5.0],[5.0],1
1416,6-7 dose p002,[5.0],[5.0],1
1417,60-year-old include vaccine,[305.0],[305.0],1
1418,607 dominate 649,[279.0],[279.0],1
1419,607 dominate 794,[279.0],[279.0],1
1420,607 dominate infection,[279.0],[279.0],1
1421,608 fold 108,[479.0],[479.0],1
1422,608 hospitalize 108,[479.0],[479.0],1
1423,608 hospitalize adult,[479.0],[479.0],1
1424,608 increase 108,[479.0],[479.0],1
1425,609 detect 214,[476.0],[476.0],1
1426,609 detect 429,[476.0],[476.0],1
1427,609 detect cfai,[476.0],[476.0],1
1428,609 detect cs21,[476.0],[476.0],1
1429,609 detect cs6,[476.0],[476.0],1
1430,609 vaccinate chadox1,[0.0],[0.0],1
1431,609 vaccinate vaccine,[0.0],[0.0],1
1432,614 evaluate 3-month,[303.0],[303.0],1
1433,614 treat patient,[139.0],[139.0],1
1434,6185 induce 118,[292.0],[292.0],1
1435,619 swell diarrhoea,[136.0],[136.0],1
1436,619 swell shiver,[136.0],[136.0],1
1437,619 swell vertigo,[136.0],[136.0],1
1438,622 infect sars-cov-2,[477.0],[477.0],1
1439,632 receive 316,[463.0],[463.0],1
1440,632 receive 600,[463.0],[463.0],1
1441,637100000 average 15100000,[194.0],[194.0],1
1442,637100000 average 16100000,[194.0],[194.0],1
1443,637100000 average embolism,[194.0],[194.0],1
1444,637100000 average idiopathic,[194.0],[194.0],1
1445,637100000 average thrombocytopenia,[194.0],[194.0],1
1446,6372 receive 4372,[257.0],[257.0],1
1447,6372 receive convalescent,[257.0],[257.0],1
1448,6372 receive second,[257.0],[257.0],1
1449,6372 receive serum,[257.0],[257.0],1
1450,638 base 654,[385.0],[385.0],1
1451,638 observe 654,[385.0],[385.0],1
1452,638 use 654,[385.0],[385.0],1
1453,638 use chest,[385.0],[385.0],1
1454,64 million exist cirrhosis,[211.0],[211.0],1
1455,64 million exist patient,[211.0],[211.0],1
1456,64 years induce pulmonary,[322.0],[322.0],1
1457,65 collect two,[22.0],[22.0],1
1458,656 test 747,[398.0],[398.0],1
1459,656 test hadv,[398.0],[398.0],1
1460,663 increase 187,[492.0],[492.0],1
1461,663 increase 192,[492.0],[492.0],1
1462,663 increase obesity,[492.0],[492.0],1
1463,663 increase one,[492.0],[492.0],1
1464,663 induce death,[492.0],[492.0],1
1465,663 induce influenza,[492.0],[492.0],1
1466,663 induce influenza-like illness,[492.0],[492.0],1
1467,663 induce people,[492.0],[492.0],1
1468,665 treat patient,[139.0],[139.0],1
1469,6667 base 784,[277.0],[277.0],1
1470,6667 receive 2549,[277.0],[277.0],1
1471,6667 receive 784,[277.0],[277.0],1
1472,67-year-old develop 2014,[208.0],[208.0],1
1473,67-year-old develop allograft,[208.0],[208.0],1
1474,67-year-old develop donor,[208.0],[208.0],1
1475,67-year-old develop globulin,[208.0],[208.0],1
1476,67-year-old develop mofetil,[208.0],[208.0],1
1477,67-year-old develop mycophenolate,[208.0],[208.0],1
1478,67-year-old develop renal,[208.0],[208.0],1
1479,67-year-old develop steroid,[208.0],[208.0],1
1480,67-year-old develop tacrolimus,[208.0],[208.0],1
1481,67-year-old diagnose globulin,[208.0],[208.0],1
1482,67-year-old diagnose mofetil,[208.0],[208.0],1
1483,67-year-old diagnose mycophenolate,[208.0],[208.0],1
1484,67-year-old diagnose steroid,[208.0],[208.0],1
1485,67-year-old diagnose tacrolimus,[208.0],[208.0],1
1486,692 dominate 649,[279.0],[279.0],1
1487,692 dominate 794,[279.0],[279.0],1
1488,692 dominate infection,[279.0],[279.0],1
1489,6972 receive 4372,[257.0],[257.0],1
1490,6972 receive convalescent,[257.0],[257.0],1
1491,6972 receive second,[257.0],[257.0],1
1492,6972 receive serum,[257.0],[257.0],1
1493,703 receive 114,[38.0],[38.0],1
1494,703 receive 296,[38.0],[38.0],1
1495,706 indicate 294,[4.0],[4.0],1
1496,706 indicate nwtv,[4.0],[4.0],1
1497,706 induce nwtv,[4.0],[4.0],1
1498,71849 induce 519,[268.0],[268.0],1
1499,71849 induce 615,[268.0],[268.0],1
1500,71849 induce hai,[268.0],[268.0],1
1501,71849 induce influenza,[268.0],[268.0],1
1502,71849 weight 519,[268.0],[268.0],1
1503,71849 weight 615,[268.0],[268.0],1
1504,725 need 112,[218.0],[218.0],1
1505,725 need 220,[218.0],[218.0],1
1506,725 need 441,[218.0],[218.0],1
1507,725 need c21,[218.0],[218.0],1
1508,725 need oxygen,[218.0],[218.0],1
1509,725 need patient,[218.0],[218.0],1
1510,725 reduce 112,[218.0],[218.0],1
1511,725 reduce 220,[218.0],[218.0],1
1512,725 reduce 441,[218.0],[218.0],1
1513,728 acquire family,[170.0],[170.0],1
1514,728 test 548,[407.0],[407.0],1
1515,728 test ci 261-1150,[407.0],[407.0],1
1516,7406 combine cet,[432.0],[432.0],1
1517,7406 combine volunteer,[432.0],[432.0],1
1518,7406 improve volunteer,[432.0],[432.0],1
1519,741 dose vaccine,[105.0],[105.0],1
1520,743 receive n143,[135.0],[135.0],1
1521,743 receive n600,[135.0],[135.0],1
1522,743 receive one,[135.0],[135.0],1
1523,743 test 581,[235.0],[235.0],1
1524,743 test immune,[235.0],[235.0],1
1525,743 test infection,[235.0],[235.0],1
1526,743 test liberec,[235.0],[235.0],1
1527,745-864 use covid-19,[429.0],[429.0],1
1528,746 induce 118,[292.0],[292.0],1
1529,746 test 384-895,[133.0],[133.0],1
1530,749 detect 204,[398.0],[398.0],1
1531,749 detect 249,[398.0],[398.0],1
1532,749 detect 408 249,[398.0],[398.0],1
1533,749 detect hadv-1,[398.0],[398.0],1
1534,749 detect hadv-2,[398.0],[398.0],1
1535,75-ÃÃÃÂµg include 101-120,[236.0],[236.0],1
1536,75-ÃÃÃÂµg include 15-ÃÃÃÂµg,"[236.0, 236.0, 236.0]",[236.0],1
1537,75-ÃÃÃÂµg include b,[236.0],[236.0],1
1538,75-ÃÃÃÂµg include h1n1,[236.0],[236.0],1
1539,75-ÃÃÃÂµg include h3n2,[236.0],[236.0],1
1540,75-ÃÃÃÂµg include vaccine,"[236.0, 236.0]",[236.0],1
1541,75-ÃÃÃÂµg randomize 101-120,[236.0],[236.0],1
1542,75-ÃÃÃÂµg randomize 15-ÃÃÃÂµg,"[236.0, 236.0]",[236.0],1
1543,75-ÃÃÃÂµg randomize b,[236.0],[236.0],1
1544,75-ÃÃÃÂµg randomize h1n1,[236.0],[236.0],1
1545,75-ÃÃÃÂµg randomize h3n2,[236.0],[236.0],1
1546,75-ÃÃÃÂµg randomize vaccine,[236.0],[236.0],1
1547,750 aim 2020,"[271.0, 271.0]",[271.0],1
1548,750 aim 2020-001888-90,[271.0],[271.0],1
1549,750 aim eudract,"[271.0, 271.0]",[271.0],1
1550,750 aim participant,[271.0],[271.0],1
1551,750 include ngml,[357.0],[357.0],1
1552,750 include three,[357.0],[357.0],1
1553,750 randomize 2020,[271.0],[271.0],1
1554,750 randomize 2020-001888-90,[271.0],[271.0],1
1555,750 randomize eudract,"[271.0, 271.0]",[271.0],1
1556,750 receive 2020,"[271.0, 271.0]",[271.0],1
1557,750 receive 2020-001888-90,[271.0],[271.0],1
1558,750 receive eudract,"[271.0, 271.0]",[271.0],1
1559,750 reduce 500,[86.0],[86.0],1
1560,750 reduce boulardiikg,[86.0],[86.0],1
1561,750 reduce npp,[86.0],[86.0],1
1562,750 reduce phy,[86.0],[86.0],1
1563,750 treat 2020,[271.0],[271.0],1
1564,750 treat 2020-001888-90,[271.0],[271.0],1
1565,750 treat boulardiikg,[86.0],[86.0],1
1566,750 treat eudract,"[271.0, 271.0]",[271.0],1
1567,753 use covid-19,[429.0],[429.0],1
1568,761 include tuberculosis,[193.0],[193.0],1
1569,761 perform six,[193.0],[193.0],1
1570,761 perform tuberculosis,[193.0],[193.0],1
1571,777 elicit b1351,"[465.0, 465.0]",[465.0],1
1572,777 elicit b16172,[465.0],[465.0],1
1573,777 elicit pseudoviruses,[465.0],[465.0],1
1574,77759 describe person-years,[473.0],[473.0],1
1575,77759 describe pwh versus,[473.0],[473.0],1
1576,77759 describe pwoh,[473.0],[473.0],1
1577,778 induce adult,[60.0],[60.0],1
1578,778 induce covid-19,[60.0],[60.0],1
1579,778 show adult,[60.0],[60.0],1
1580,789 acquire family,[170.0],[170.0],1
1581,791 enrol 128,[134.0],[134.0],1
1582,796 evaluate 167,[362.0],[362.0],1
1583,796 evaluate 232,[362.0],[362.0],1
1584,796 evaluate influenza,[362.0],[362.0],1
1585,796 evaluate west,[362.0],[362.0],1
1586,796 recommend 167,[362.0],[362.0],1
1587,796 recommend 232,[362.0],[362.0],1
1588,796 recommend 547,[362.0],[362.0],1
1589,796 recommend influenza,[362.0],[362.0],1
1590,796 recommend panama city,[362.0],[362.0],1
1591,796 recommend west,[362.0],[362.0],1
1592,805 derive child,[383.0],[383.0],1
1593,805 provide 5100,[316.0],[316.0],1
1594,807 confirm 837,[378.0],[378.0],1
1595,807 confirm 896,[378.0],[378.0],1
1596,807 confirm ci,[378.0],[378.0],1
1597,807 confirm itt,[378.0],[378.0],1
1598,807 confirm per-protocol,[378.0],[378.0],1
1599,807 receive 837,[378.0],[378.0],1
1600,807 receive 896,[378.0],[378.0],1
1601,807 receive itt,[378.0],[378.0],1
1602,807 receive per-protocol,[378.0],[378.0],1
1603,810 increase 122,[268.0],[268.0],1
1604,810 increase 152,[268.0],[268.0],1
1605,810 increase ci,[268.0],[268.0],1
1606,810 increase diabetes,[268.0],[268.0],1
1607,810 increase heart,[268.0],[268.0],1
1608,810 increase renal diseases,[268.0],[268.0],1
1609,814 acquire family,[170.0],[170.0],1
1610,815 include immunization,[359.0],[359.0],1
1611,815 include patient,[359.0],[359.0],1
1612,815 mediate immunization,[359.0],[359.0],1
1613,815 mediate patient,[359.0],[359.0],1
1614,817 prevent 627-910,[168.0],[168.0],1
1615,817 prevent 693-946,[168.0],[168.0],1
1616,817 prevent 871,[168.0],[168.0],1
1617,8207 notify 1193,[64.0],[64.0],1
1618,8207 notify 474,[64.0],[64.0],1
1619,821 collect child,[197.0],[197.0],1
1620,821 collect influenza,[197.0],[197.0],1
1621,821 collect strep,[197.0],[197.0],1
1622,827 814 use covid-19,[429.0],[429.0],1
1623,8275 detect 172,[148.0],[148.0],1
1624,8275 detect 517,[148.0],[148.0],1
1625,8275 detect cpv-2a,[148.0],[148.0],1
1626,8275 detect cpv-2b,[148.0],[148.0],1
1627,8275 detect dog,"[148.0, 148.0]",[148.0],1
1628,8275 detect one,[148.0],[148.0],1
1629,8275 detect two,[148.0],[148.0],1
1630,8275 vaccinate 172,[148.0],[148.0],1
1631,8275 vaccinate cpv-2a,[148.0],[148.0],1
1632,8275 vaccinate one,[148.0],[148.0],1
1633,8275 vaccinate two,[148.0],[148.0],1
1634,8407 use biomerieux,[72.0],[72.0],1
1635,8407 use nab,[72.0],[72.0],1
1636,845 provide 790-890,[428.0],[428.0],1
1637,845 provide 866,[428.0],[428.0],1
1638,85-90 detect th1,[28.0],[28.0],1
1639,861 average 15100000,[194.0],[194.0],1
1640,861 average 16100000,[194.0],[194.0],1
1641,861 average embolism,[194.0],[194.0],1
1642,861 average idiopathic,[194.0],[194.0],1
1643,861 average thrombocytopenia,[194.0],[194.0],1
1644,861 use covid-19,[429.0],[429.0],1
1645,873 receive 316,[463.0],[463.0],1
1646,873 receive 600,[463.0],[463.0],1
1647,875 average 15100000,[194.0],[194.0],1
1648,875 average 16100000,[194.0],[194.0],1
1649,875 average embolism,[194.0],[194.0],1
1650,875 average idiopathic,[194.0],[194.0],1
1651,875 average thrombocytopenia,[194.0],[194.0],1
1652,8805 age 1053,[479.0],[479.0],1
1653,8805 age 1061,[479.0],[479.0],1
1654,8805 age 2032,[479.0],[479.0],1
1655,8805 age pneumonia,[479.0],[479.0],1
1656,8805 approve allergy,[271.0],[271.0],1
1657,8805 approve bacterial infection,[271.0],[271.0],1
1658,8805 approve bcg,"[271.0, 271.0]",[271.0],1
1659,8805 approve covid-19,[271.0],[271.0],1
1660,8805 approve fever,[271.0],[271.0],1
1661,8805 approve immunocompromised,[271.0],[271.0],1
1662,8805 approve infection,[271.0],[271.0],1
1663,8805 approve mycobacterium,[271.0],[271.0],1
1664,8805 approve tuberculosis,"[271.0, 271.0]",[271.0],1
1665,8805 approve vaccine,"[271.0, 271.0]",[271.0],1
1666,8805 associate cancer,[269.0],[269.0],1
1667,8805 associate survivor,[269.0],[269.0],1
1668,8805 classify allergy,[271.0],[271.0],1
1669,8805 classify bacterial infection,[271.0],[271.0],1
1670,8805 classify bcg,"[271.0, 271.0]",[271.0],1
1671,8805 classify covid-19,[271.0],[271.0],1
1672,8805 classify fever,[271.0],[271.0],1
1673,8805 classify immunocompromised,[271.0],[271.0],1
1674,8805 classify infection,[271.0],[271.0],1
1675,8805 classify mycobacterium,[271.0],[271.0],1
1676,8805 classify tuberculosis,"[271.0, 271.0]",[271.0],1
1677,8805 classify vaccine,"[271.0, 271.0]",[271.0],1
1678,8805 consider 108,[479.0],[479.0],1
1679,8805 consider 608,[479.0],[479.0],1
1680,8805 consider adult,[479.0],[479.0],1
1681,8805 die bowel,[345.0],[345.0],1
1682,8805 die copd,[345.0],[345.0],1
1683,8805 die hepatopathies,[345.0],[345.0],1
1684,8805 die inflammatory,[345.0],[345.0],1
1685,8805 die obstructive pulmonary,[345.0],[345.0],1
1686,8805 die patient,[345.0],[345.0],1
