,head_type,tail_type,triple_list,cluster_list,list_count
87,CHEMICAL,CARDINAL,"['vaccine dose eighty years', 'comply collect two', 'hydroxychloroquine sulfate coat 225', 'hydroxychloroquine sulfate coat one', 'hydroxychloroquine sulfate coat two', 'tablet coat 225', 'tablet coat one', 'tablet coat two']","['coat', 'dose', 'collect']",601
88,CHEMICAL,CELL,"['hydroxychloroquine induce cell', 'chloroquine induce cell', 'hydroxychloroquine induce cell', 'tamoxifen induce cell', 'raloxifene induce cell', 'hadv report china', 'hadv report china', 'hadv report china']","['induce', 'report']",111
89,CHEMICAL,CHEMICAL,"['combination observe mrna-1273', 'combination observe bnt162b2', 'influenza vaccines provide influenza 026', 'influenza vaccines improve influenza', 'emulsion improve influenza', 'animal vaccinate ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³', 'animal vaccinate cytokine', 'animal vaccinate ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³']","['improve', 'provide', 'vaccinate', 'observe']",1234
90,CHEMICAL,CORONAVIRUS,"['hydroxychloroquine sulfate coat sars', 'hydroxychloroquine sulfate coat cov2', 'hydroxychloroquine sulfate coat sars-cov2', 'tablet coat sars', 'tablet coat cov2', 'tablet coat sars-cov2', 'injection observe covid-19', 'influenza decline covid-19']","['coat', 'decline', 'observe']",350
91,CHEMICAL,DISEASE_OR_SYNDROME,"['icis induce anticancer therapies', 'injection follow morbilliform eruptions', 'injection follow urticarial', 'injection follow eruption', 'hydroxychloroquine induce heart', 'hydroxychloroquine induce cancer', 'chloroquine induce heart', 'chloroquine induce cancer']","['follow', 'induce']",655
92,CHEMICAL,EUKARYOTE,"['antigen report anopheles', 'vaccine confer balbc', 'vaccine receive chimpanzee', 'vaccine receive chimpanzee', 'zenin collect plant', 'vaccine induce chimpanzee', 'cpv-2c detect dog', 'cpv-2c detect dog']","['detect', 'confer', 'collect', 'induce', 'receive', 'report']",44
93,CHEMICAL,FAC,"['influenza investigate pre-immune', 'influenza receive 8805', 'influenza fragment india', 'mrna associate 101-111', 'vaccine associate 101-111', 'second dose b1351', 'vaccine dose b1351', 'adam9 show anti-paad']","['associate', 'dose', 'fragment', 'show', 'investigate', 'receive']",48
94,CHEMICAL,FOOD,"['vaccine base boost', 'animal receive boost', 'influenza cause egg', 'vaccine cause egg', 'prime-boost dose boost']","['base', 'dose', 'receive', 'cause']",5
95,CHEMICAL,GENE_OR_GENOME,"['combination observe cd4 t-cell', 'animal vaccinate cd8 cells', 'animal continue cd8 cells', 'animal induce cd8 cells', 'ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³ induce cd8 cells', 'hydroxychloroquine induce qtc', 'chloroquine induce qtc', 'hydroxychloroquine induce qtc']","['continue', 'induce', 'vaccinate', 'observe']",657
96,CHEMICAL,GPE,"['hydroxychloroquine induce new york', 'chloroquine induce new york', 'hydroxychloroquine induce new york', 'tamoxifen induce new york', 'raloxifene induce new york', 'hadv report japan', 'hadv report usa', 'hadv report singapore']","['induce', 'report']",70
97,CHEMICAL,GROUP,"['influenza vaccines provide child', 'influenza vaccines confirm child', 'influenza 026 confirm child', 'influenza vaccines improve child', 'emulsion improve child', 'vaccine dose participant', 'hadv infections test patient', 'hadv-c detect patient']","['test', 'detect', 'dose', 'provide', 'confirm', 'improve']",404
98,CHEMICAL,IMMUNE_RESPONSE,"['nab induce immunization', 'nab hospitalize immunization', 'korea observe immunisation', 'hvtn induce immunization', 'hvtn aim immunization', 'vaccine avoid immunity', 'vaccine avoid immunity', 'enzyme ii boost immunity']","['observe', 'induce', 'avoid', 'aim', 'boost', 'hospitalize']",71
99,CHEMICAL,INJURY_OR_POISONING,['antigen report bite'],['report'],1
100,CHEMICAL,LIVESTOCK,"['vaccine avoid chicken', 'vaccine avoid chicken', 'vaccine avoid chicken', 'vaccine prevent herd', 'bacterin prevent herd', 'vaccine use pig', 'vaccine use pig', 'vaccine follow pig']","['establish', 'prevent', 'need', 'dose', 'develop', 'activate', 'follow', 'avoid', 'use']",15
101,CHEMICAL,LOC,"['hadv report europe', 'hadv-b7 report europe', 'hadv-b7d report europe', 'amino acid circulate ah1n1pdm09', 'amino acid recommend ah1n1pdm09', 'vaccine recommend ah1n1pdm09', 'influenza decline south america', 'mrna relate northern italy']","['recommend', 'circulate', 'relate', 'decline', 'report']",52
102,CHEMICAL,NORP,"['vaccine avoid european', 'gambia modify african', 'gambia need african', 'gambia aim african', 'vaccine strain indian', 'date provide norwegian', 'auml associate p0048', 'vaccine induce omicron']","['modify', 'associate', 'need', 'provide', 'strain', 'induce', 'avoid', 'aim']",35
103,CHEMICAL,ORG,"['animal vaccinate tnf-Ã\x83\x83Ã\x83\x82', 'animal continue tnf-Ã\x83\x83Ã\x83\x82', 'hydroxychloroquine sulfate coat healthcare', 'tablet coat healthcare', 'hydroxychloroquine sulfate evaluate healthcare', 'tablet evaluate healthcare', 'hydroxychloroquine evaluate healthcare', 'tablet evaluate healthcare']","['coat', 'continue', 'evaluate', 'vaccinate']",87
104,CHEMICAL,ORGANISM,"['vaccine attenuate serotypes', 'vaccine attenuate mouse', 'vaccine attenuate mouse', 'vaccine induce serotypes', 'vaccine induce mouse', 'vaccine induce mouse', 'tt induce serotypes', 'tt induce mouse']","['induce', 'attenuate']",120
105,CHEMICAL,SIGN_OR_SYMPTOM,"['influenza receive hepatopathies', 'influenza die hepatopathies', 'influenza relate hepatopathies', 'injection understudy symptom', 'vaccine need symptom', 'vaccine need symptom', 'vaccine need symptom', 'injection need symptom']","['need', 'relate', 'die', 'understudy', 'receive']",32
106,CHEMICAL,SUBSTRATE,"['antagonistsosip match blood', 'indicator observe blood', 'vaccine see blood', 'vaccine see blood', 'immunomodulatory receive blood', 'vaccine age blood', 'opv age blood', 'cytokine age blood']","['associate', 'detect', 'observe', 'decrease', 'show', 'design', 'see', 'age', 'match', 'receive']",13
107,CHEMICAL,TISSUE,"['vaccine base bronchoalveolar lavage', 'vaccine base alveolar', 'vaccine induce bronchoalveolar lavage', 'vaccine induce alveolar', 'vaccine show bronchoalveolar lavage', 'saoa induce mucosal iga', 'saoa induce vaginal', 'post-vaccine review axillarysubpectoral lymph']","['base', 'review', 'induce', 'show']",51
108,CHEMICAL,VIRUS,"['aluminum hydroxide purify zika', 'aluminum hydroxide purify zikv', 'vaccine purify zika', 'vaccine purify zikv', 'antibody test oc43', 'antibody test nl63', 'pizv vary zikv', 'pizv range zikv']","['range', 'test', 'purify', 'vary']",30
109,CORONAVIRUS,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['coronavirus provide alveolar', 'coronavirus capitalize alveolar', 'covid-19 capitalize alveolar', 'coronavirus establish alveolar', 'covid-19 establish alveolar', 'coronavirus boost alveolar', 'covid-19 boost alveolar', 'sars-cov-2 neutralize lung']","['establish', 'provide', 'capitalize', 'boost', 'neutralize']",48
