,doc_id,sent_id,triple_list,Unnamed: 0,abstract_sents
10,3.0,0.0,"['budd-chiari syndrome cause hepatic venules', 'budd-chiari syndrome cause inferior', 'budd-chiari syndrome cause vena', 'budd-chiari syndrome cause cava', 'venous outflow cause hepatic venules', 'venous outflow cause inferior', 'venous outflow cause vena', 'venous outflow cause cava', 'hepatic cause hepatic venules', 'hepatic cause inferior', 'hepatic cause vena', 'hepatic cause cava']",30,background budd-chiari syndrome bcs complex thrombotic disorder caused due obstruction hepatic venous outflow involving anywhere small hepatic venules entrance inferior vena cava right atrium 
11,3.0,2.0,"['patient improve liver', 'bcs improve liver']",32,prognosis patients bcs improved significantly long-term anticoagulation measures like trans-jugular-intrahepatic-porto-systemic shunt tips liver transplantation 
12,3.0,4.0,['patient receive thrombosis'],34,methods appropriate investigational review board permission identified patients history bcs following thrombosis clinical practice year 2010 onwards 
13,3.0,7.0,['two compare transplant'],37, compared two categories patients needed tipsliver transplants versus 
14,3.0,11.0,"['patient include 294000l 14000-767000l', 'patient include white', 'patient include obese', 'patient include woman', 'patient include oral', 'patient include pill', 'patient include thrombosis', 'patient include stroke', 'patient include hemoglobin', 'patient include 134', 'patient include blood', 'patient include cell', 'patient include 9400l', 'patient include platelet', 'patient include serum', 'patient include creatinine', 'patient include 087', 'patient include gmdl', 'patient include bilirubin']",41,results study included 23 patients baseline characteristics including median age 36 years 11-59 years 91 whites 61 females 44 smokers 61 obese median bmi 299 kgm 2 6 14 women oral contraceptive pills 22 thrombosis history 17 stroke history median hemoglobin 134 gmdl 89-20 gmdl white blood cell count 9400l 3050-31500l platelet count 294000l 14000-767000l serum creatinine 087 mgl 055-252 mgdl total protein 63 gmdl 52-88 gmdl bilirubin 21 mgdl 01-202 mgdl aspartate aminotransferase ast 61 ul 16-1037 ul alanine aminotransferase alt 43ul 18-1694 ul meld score 15 range 7-38 cp score 9 5-14 74 cirrhosis 82 ascites one point 57 myeloproliferative neoplasm mpn 43 paroxysmal nocturnal hemoglobinuria pnh 17 antiphospholipid antibodies positive aps 13 positive antinuclear antibodies 35 needed tips 44 required liver transplantation 
15,3.0,16.0,"['bilirubin compare cirrhosis', 'bilirubin compare ascites', 'bilirubin compare jak2', 'bilirubin compare p-value']",46,group needing tipsliver transplantdied compared higher bilirubin meld pc score deficiency cirrhosis ascites jak2 mutation p-value significant table 1 
16,3.0,18.0,"['two die patient', 'two die neoplasm', 'two die mpn', 'patient die neoplasm', 'patient die mpn']",48,two patients 87 died total 23 conclusions data indicate patients bcs neoplasms 61 particularly mpn 57 commonly diagnosed 
17,4.0,4.0,"['cancer select vaccine', 'patient select vaccine']",57,online survey within hours 1106 cancer patients selected either yes plan get vaccine no get vaccine 
18,4.0,7.0,"['706 indicate 294', '706 indicate nwtv', 'patient indicate 294', 'patient indicate nwtv', 'vaccine indicate 294', 'vaccine indicate nwtv', '706 induce nwtv', 'patient induce nwtv', 'vaccine induce nwtv', '294 induce nwtv']",60,results overall 706 patients indicated willingness get vaccine wtv 294 reported opposite nwtv 
19,4.0,9.0,"['patient elapse 451', 'patient elapse uk', 'patient elapse breast', 'patient elapse lung', 'patient elapse prostate', 'patient elapse 33', 'patient elapse 19', 'patient elapse 15']",62,next strongest determinant time elapsed since patient s diagnosis largest population available diagnosis date 451 uk patients average time since diagnosis patients wtv vs nwtv breast 35 vs 25 years lung 16 vs 14 years prostate 24 vs 33 years colorectal 19 vs 15 years 
20,4.0,10.0,"['patient increase spanish', 'patient increase french', 'patient increase german', '148 increase spanish', '148 increase patient', '148 increase french', '148 increase patient', '148 increase german', '148 increase patient', 'italian increase spanish', 'italian increase patient', 'italian increase french', 'italian increase patient', 'italian increase german', 'italian increase patient', 'patient increase spanish', 'patient increase french', 'patient increase german']",63,among patients countries available diagnosis date time since diagnosis increased among 148 italian patients wtv gradually increased among 94 spanish patients wtv substantially decreased among 85 french patients wtv gradually decreased among 50 german patients wtv substantially increased 
21,4.0,14.0,['patient collect vaccine'],67,patient input collected shortly first vaccine s approval 
22,5.0,1.0,['hcws include igg'],71,methods consenting hcws invited circulating igg levels measured vaccination 6 subsequent timepoints 
23,5.0,3.0,"['igg circulate infection', 'igg circulate kruskall-wallis', 'igg boost kruskall-wallis', 'infection boost kruskall-wallis']",73,described trends circulating igg geometric mean concentration age ethnicity timing boosting previous infection status compared strata using kruskall-wallis tests 
24,5.0,8.0,"['igg boost 8-9', 'igg boost p002', '6-7 boost 8-9', '6-7 boost p002', 'igg dose p002', '6-7 dose p002']",78,igg gmc boosted 6-7 months dose 2 lower compared boosted 8-9 months 1999-vs 2736 p002 
25,5.0,10.0,"['igg infect infection', 'igg infect immunity']",80,igg titres decrease among previously infected individuals proportion reinfected individuals group comparable proportion breakthrough infection previously uninfected individuals suggests individuals hybrid immunity infectionvaccination may also require doses 
26,7.0,2.0,['hamster induce sars-cov-2'],96,immunizing hamsters wild-type mutant sars-cov-2 bearing variant spikes alpha beta gamma epsilon animals developed faster greater neutralization activities homologous sars-cov-2 variants heterologous variants including delta 
27,7.0,5.0,['hamster vaccinate sars-cov-2'],99,nevertheless immunized hamsters protected challenges sars-cov-2 variants including exhibiting lowest neutralizing antibody titers 
28,8.0,0.0,"['age-dependent include dengue', 'age-dependent include brazil', 'age-dependent include dengvaxia', 'mosquito include dengue', 'mosquito include brazil', 'mosquito include dengvaxia', 'biting include dengue', 'biting include brazil', 'biting include dengvaxia']",101,paper introduce single serotype transmission model including age-dependent mosquito biting rate find optimal vaccination age dengue brazil dengvaxia 
29,8.0,5.0,"['ade include primary infections', 'ade include tertiary quaternary', 'ade include cross-immunity']",106,ade assumed imply risk-free primary infections permanent cross-immunity implies risk-free tertiary quaternary infections 
30,8.0,10.0,['ade induce optimal'],111,assumption ade generally leads higher optimal vaccination age case 
31,9.0,0.0,['influenza recommend adult'],117,introduction annual influenza vaccination recommended older adults evidence regarding impact repeated vaccination inconclusive 
32,9.0,1.0,"['vaccine investigate influenza', 'vaccine investigate adult', 'vaccine confirm adult', 'influenza confirm adult']",118,aim investigated vaccine effectiveness laboratory-confirmed influenza impact repeated vaccination 10 previous seasons current season among older adults 
33,9.0,7.0,"['patient vaccinate ci Ã\x83\x83Ã\x83\x82Ã\x83\x824', 'patient receive ci Ã\x83\x83Ã\x83\x82Ã\x83\x824', 'patient receive ci Ã\x83\x83Ã\x83\x82Ã\x83\x824', 'patient receive ci Ã\x83\x83Ã\x83\x82Ã\x83\x824']",124,patients vaccinated current season received vaccinations previous 10 seasons higher current season 34 95 ci 9 52 patients received 1ÃÂÂ3 26 95 ci 13 37 4ÃÂÂ6 24 95 ci 15 33 7ÃÂÂ8 13 95 ci 2 22 9ÃÂÂ10 7 95 ci ÃÂÂ4 16 vaccinations trend test p 0001 
34,10.0,5.0,['covid-19 confirm transcriptase'],133,meta-analysis included studies confirmed cases covid-19 using reverse transcriptase polymerase chain reaction 
35,10.0,6.0,['8926 emerge vaccine'],134,study detected 8926 eligible research articles published covid-19 vaccines 
36,10.0,12.0,"['antibody neutralize respiratory', 'antibody neutralize syndrome', 'antibody neutralize coronavirus', 'antibody neutralize sars-cov-2', 'antibody neutralize vaccine', 'antibody bind syndrome', 'antibody bind coronavirus', 'antibody bind sars-cov-2', 'antibody bind vaccine']",140,production neutralizing antibodies receptor-binding domains rbds severe acute respiratory syndrome coronavirus 2 sars-cov-2 90 vaccinated samples reported within 0ÃÂÂ30 days first second dose vaccine 
37,10.0,14.0,"['fever receive people', 'fever receive mrna', 'fever receive vaccine', 'people receive mrna', 'people receive vaccine', 'adenovirus receive people', 'adenovirus receive mrna', 'adenovirus receive vaccine', 'vaccine receive people', 'vaccine receive mrna', 'fatigue receive people', 'fatigue receive mrna', 'fatigue receive vaccine']",142,fever 02 ÃÂÂ95 prevalent people receiving adenovirus vector vaccines fatigue 84 ÃÂÂ55 common side effect people receiving mrna vaccines 
38,10.0,15.0,"['mrna provide covid-19', 'mrna provide infection', 'mrna provide people', 'mrna provide 18', 'vaccine provide covid-19', 'vaccine provide infection', 'vaccine provide people', 'vaccine provide 18', 'adenovirus provide covid-19', 'adenovirus provide infection', 'adenovirus provide people', 'adenovirus provide 18', 'vaccine provide covid-19', 'vaccine provide infection', 'vaccine provide people', 'vaccine provide 18']",143,studies suggest mrna vaccines adenovirus vector vaccines provide moderate high protection covid-19 infection people 18 years 
39,11.0,1.0,"['cohort show chadox1-ncov-19', 'cohort show bnt162b2', 'cohort show n66', 'cohort show mrna-1273', 'cohort show mrna-regimens', 'cohort show n43', 'cohort show bnt162b2', 'cohort show n59', 'cohort show mrna-1273', 'cohort show chadox1-ncov-19', 'cohort show n62', '331 show chadox1-ncov-19', '331 show bnt162b2', '331 show n66', '331 show mrna-1273', '331 show mrna-regimens', '331 show n43', '331 show bnt162b2', '331 show n59', '331 show mrna-1273', '331 show chadox1-ncov-19', '331 show n62', 'cellular show chadox1-ncov-19', 'cellular show bnt162b2', 'cellular show n66', 'cellular show mrna-1273', 'cellular show mrna-regimens', 'cellular show n43', 'cellular show bnt162b2', 'cellular show n59', 'cellular show mrna-1273', 'cellular show chadox1-ncov-19', 'cellular show n62', 'immunity show chadox1-ncov-19', 'immunity show bnt162b2', 'immunity show n66', 'immunity show mrna-1273', 'immunity show mrna-regimens', 'immunity show n43', 'immunity show bnt162b2', 'immunity show n59', 'immunity show mrna-1273', 'immunity show chadox1-ncov-19', 'immunity show n62', 'cohort follow bnt162b2', 'cohort follow n59', 'cohort follow mrna-1273', 'cohort follow chadox1-ncov-19', 'cohort follow n62', '331 follow bnt162b2', '331 follow n59', '331 follow mrna-1273', '331 follow chadox1-ncov-19', '331 follow n62', 'cellular follow bnt162b2', 'cellular follow n59', 'cellular follow mrna-1273', 'cellular follow chadox1-ncov-19', 'cellular follow n62', 'immunity follow bnt162b2', 'immunity follow n59', 'immunity follow mrna-1273', 'immunity follow chadox1-ncov-19', 'immunity follow n62', 'chadox1-ncov-19 follow bnt162b2', 'chadox1-ncov-19 follow n59', 'chadox1-ncov-19 follow mrna-1273', 'chadox1-ncov-19 follow n62', 'bnt162b2 follow n59', 'bnt162b2 follow mrna-1273', 'bnt162b2 follow chadox1-ncov-19', 'bnt162b2 follow n62', 'n66 follow bnt162b2', 'n66 follow n59', 'n66 follow mrna-1273', 'n66 follow chadox1-ncov-19', 'n66 follow n62', 'mrna-1273 follow bnt162b2', 'mrna-1273 follow n59', 'mrna-1273 follow chadox1-ncov-19', 'mrna-1273 follow n62', 'mrna-regimens follow bnt162b2', 'mrna-regimens follow n59', 'mrna-regimens follow mrna-1273', 'mrna-regimens follow chadox1-ncov-19', 'mrna-regimens follow n62']",147,using convenience cohort 331 healthy individuals show humoral cellular immunity vaccination chadox1-ncov-19 followed either bnt162b2 n66 mrna-1273 n101 equivalent superior homologous mrna-regimens n43 bnt162b2 n59 mrna-1273 pronounced homologous chadox1-ncov-19 vaccination n62 
40,11.0,3.0,"['combination observe cd4 t-cell', 'combination observe mrna-1273', 'combination observe bnt162b2']",149,among mrna-containing combinations spike-specific cd4 t-cell levels regimens including mrna-1273 higher respective combinations bnt162b2 
41,11.0,5.0,['five induce chadox1-ncov-19-priming'],151,five regimens well tolerated pronounced reactogenicity upon chadox1-ncov-19-priming mrna-1273-boosting 
42,11.0,6.0,"['vectormrna-boosting boost mrna', 'vectormrna-boosting boost vaccine', 'mrna-regimens boost mrna', 'mrna-regimens boost vaccine', 'vector-regimens boost mrna', 'vector-regimens boost vaccine']",152,conclusion immunogenicity heterologous vectormrna-boosting homologous mrna-regimens superior homologous vector-regimens notable differences mrna vaccines 
43,12.0,0.0,"['woman characterize placenta', 'plasmodium characterize placenta', 'falciparum characterize placenta', 'malaria characterize placenta', 'blood characterize placenta']",153,background endemic areas pregnant women highly susceptible plasmodium falciparum malaria characterized accumulation parasitized red blood cells prbc placenta 
44,12.0,1.0,"['woman develop malaria', 'woman develop antibody', 'woman develop antigen', 'woman associate antigen', 'immunity associate antigen', 'malaria associate antigen']",154,subsequent pregnancies women develop protective immunity pregnancy-associated malaria hypothesized due acquisition antibodies parasite variant surface antigen var2csa 
45,12.0,3.0,"['woman base falciparum', 'woman base falciparum', 'woman base antigen', 'woman base malaria', 'woman base peripheral', 'woman base anaemia', 'woman base malaria', 'woman emerge falciparum', 'woman emerge antigen', 'woman emerge malaria', 'woman emerge peripheral', 'woman emerge anaemia', 'woman emerge malaria', 'falciparum emerge antigen', 'falciparum emerge malaria', 'falciparum emerge peripheral', 'falciparum emerge anaemia', 'falciparum emerge malaria', 'woman induce malaria', 'woman induce peripheral', 'woman induce anaemia', 'woman induce malaria', 'falciparum induce malaria', 'falciparum induce peripheral', 'falciparum induce anaemia', 'falciparum induce malaria', 'falciparum induce malaria', 'falciparum induce peripheral', 'falciparum induce anaemia', 'falciparum induce malaria', 'antigen induce malaria', 'antigen induce peripheral', 'antigen induce anaemia', 'antigen induce malaria', 'woman test anaemia', 'woman test malaria', 'falciparum test anaemia', 'falciparum test malaria', 'falciparum test anaemia', 'falciparum test malaria', 'antigen test anaemia', 'antigen test malaria', 'malaria test anaemia', 'peripheral test anaemia', 'peripheral test malaria']",156,methods conducted systematic review meta-analysis population-based studies published 07 june 2019 pregnant women living p falciparum endemic areas examined antibody responses pregnancy-specific p falciparum antigens outcomes including placental malaria low birthweight preterm birth peripheral parasitaemia maternal anaemia severe malaria 
46,12.0,6.0,['antigen test antibody'],159,included studies varied terms antigens tested methodology used measure antibody responses epidemiological setting 
47,12.0,7.0,"['pregnancy-specific associate infection', 'antigen associate infection', 'malaria associate infection', 'pregnancy-specific evaluate infection', 'antigen evaluate infection', 'malaria evaluate infection']",160,antibody responses pregnancy-specific prbc var2csa antigens measured delivery associated placental malaria 9 studies may therefore represent markers infection rather correlates protection 
48,12.0,9.0,"['antigen associate peripheral', 'antigen associate malaria']",162,conclusions whilst antibody responses several antigens positively associated presence placental peripheral infections review identify evidence specific antibody response associated protection pregnancy-associated malaria across multiple populations 
49,12.0,10.0,"['cohort standardize antigen', 'cohort standardize pregnancy-specific', 'cohort standardize falciparum', 'cohort standardize antigen', 'cohort standardize vaccine', 'cohort standardize woman', 'cohort test antigen', 'cohort test pregnancy-specific', 'cohort test falciparum', 'cohort test antigen', 'cohort test vaccine', 'cohort test woman', 'cohort receive woman', 'antigen receive woman', 'pregnancy-specific receive woman', 'falciparum receive woman', 'antigen receive woman', 'vaccine receive woman']",163,prospective cohort studies using standardized laboratory methods examine responses broad range antigens different epidemiological settings throughout gestational period necessary identify prioritize pregnancy-specific p falciparum antigens advance development vaccines serosurveillance tools targeting pregnant women 
50,13.0,3.0,['meta-analyze observe 15310'],167, meta-analyze randomized controlled trials efficacy data 3 trials n 15310 immunogenicity data 17 trials n 9062 
51,13.0,4.0,"['influenza vaccines provide influenza 026', 'influenza vaccines provide child', 'influenza vaccines confirm child', 'influenza 026 confirm child']",168,compared non-adjuvanted counterparts adjuvanted influenza vaccines provide significantly better protection weighted estimate risk ratio rt-pcr-confirmed influenza 026 significantly immunogenic weighted estimates seroprotection rate ratio 46 79 healthy immunologically naive young children 
52,13.0,6.0,"['influenza vaccines improve child', 'influenza vaccines improve influenza', 'oil-in-water improve child', 'oil-in-water improve influenza', 'emulsion improve child', 'emulsion improve influenza']",170,results indicate oil-in-water emulsion adjuvant improves efficacy inactivated influenza vaccines healthy young children first-time seasonal influenza vaccination 
53,14.0,0.0,"['hcc show tlr-78rig-i', 'hcc show agonist', 'hcc show curevac']",171,background previously shown hcc patients healthy subjects equally responsive rnadjuvant ÃÂ novel tlr-78rig-i agonist based noncoding rna developed curevac ex vivo evaluation 
54,14.0,2.0,"['cancer evaluate immune', 'cancer evaluate patient', 'vaccine evaluate immune', 'vaccine evaluate cancer', 'vaccine evaluate patient']",173,different adjuvants currently used cancer vaccine clinical trials evaluated present study immune cells cancer patients chemotherapy ex vivo setting 
55,14.0,3.0,"['pbmcs induce volunteer', 'pbmcs induce patient', 'pbmcs induce colon', 'pbmcs induce oma', 'pbmcs induce lung', 'pbmcs induce cancer', 'pbmcs affect cancer', 'volunteer affect cancer', 'patient affect cancer', 'colon affect cancer', 'oma affect cancer']",174,methods pbmcs obtained 4 healthy volunteers 23 patients affected either colon oma lung cancer ot 
56,14.0,7.0,['hla-dr receive cd4 cell'],178,indeed cd80 cd86 hla-dr expression found upregulated circulating dendritic cells promoted cd4 cell differentiation towards effector phenotype 
57,14.0,11.0,"['cancer induce vaccine', 'patient induce cancer', 'patient induce vaccine']",182,conclusions present study first analysis immunological effects induced adjuvants cancer patients undergo chemotherapy enrolled currently ongoing cancer vaccine clinical trials 
58,14.0,13.0,"['chemotherapy show cancer', 'chemotherapy show patient', 'chemotherapy show cancer', 'chemotherapy show vaccine']",184,importantly demonstrated chemotherapy significantly impair immune system implying cancer patients likely respond cancer vaccine even chemotherapy treatment 
59,16.0,3.0,"['cohort vary igg', '473 vary igg', 'survivor vary igg']",196,cohort 473 survivors varying disease severity asymptomatic mild moderate severe observed positive correlation virusÃÂÂspecific igg antibody titers covidÃÂÂ19 severity 
60,17.0,0.0,"['covid-19 make cancer', 'covid-19 make patient']",200,recently vaccination covid-19 gained wide diffusion especially among vulnerable individuals cancer patients 
61,17.0,1.0,"['patient undergo axillary', 'patient undergo nodal', 'petct undergo axillary', 'petct undergo nodal']",201,time patients undergoing petct examinations vaccination increasing number cases false-positive axillary nodal uptake described mostly 18 f-fdg pet 
62,18.0,0.0,"['immunization become respiratory syndrome', 'covid19 become respiratory syndrome']",203,introduction generalized immunization covid19 become cornerstone prevention associated severe acute respiratory syndrome 
63,18.0,2.0,"['bnt162b2 document peritoneal', 'bnt162b2 document patient', 'vaccine document peritoneal', 'vaccine document patient']",205,efficacy security bnt162b2 vaccine well documented general population mdp particularly peritoneal dialysis pd patients 
64,18.0,5.0,"['igg evaluate auml', 'igg evaluate two']",208,specific anti-spike igg measured arbitrary units per milliliter auml two separate occasions 3 weeks first dose 3 weeks second 
65,18.0,6.0,['two compare non-responders'],209,two modality groups compared absolute value number non-responders nr inoculations 
66,18.0,10.0,"['phi0383 respond one', 'phi0383 respond p008']",213,hd status associated non-responding first dose phi0383 p 001 second one p008 
67,19.0,3.0,"['2021 receive vaccine', '2021 receive moderna', '414 receive vaccine', '414 receive moderna', 'mrna receive vaccine', 'mrna receive moderna']",221,results december 2020 february 2021 recorded 414 cutaneous reactions mrna covid-19 vaccines moderna 83 pfizer 17 
68,19.0,4.0,"['injection follow morbilliform eruptions', 'injection follow urticarial', 'injection follow eruption']",222,delayed large local reactions common followed local injection site reactions urticarial eruptions morbilliform eruptions 
69,20.0,1.0,"['paratuberculosis cause ruminant', 'paratuberculosis cause gastroenteritis', 'paratuberculosis cause ruminant', 'paratuberculosis cause gastroenteritis']",232,paratuberculosis m paratuberculosis causes johneÃÂÂs disease ruminants characterized chronic gastroenteritis leading heavy economic losses dairy industry worldwide 
70,20.0,2.0,"['vaccine prevent herd', 'bacterin prevent herd', 'oil prevent herd']",233,currently available vaccine inactivated bacterin oil base effective preventing pathogen shedding rarely used control johneÃÂÂs disease dairy herds 
71,20.0,3.0,"['vaccine prevent polyanhydride', 'vaccine prevent antigen', 'vaccine prevent cell', 'vaccine prevent paratuberculosis', 'vaccine use cell', 'vaccine use paratuberculosis', 'polyanhydride use cell', 'polyanhydride use paratuberculosis', 'antigen use cell', 'antigen use paratuberculosis', 'vaccine encapsulate paratuberculosis', 'polyanhydride encapsulate paratuberculosis', 'antigen encapsulate paratuberculosis', 'cell encapsulate paratuberculosis']",234,develop better vaccine prevent spread johneÃÂÂs disease utilized polyanhydride nanoparticles pan encapsulate mycobacterial antigens composed whole cell lysate pan-lysate culture filtrate pan-cf m paratuberculosis 
72,20.0,4.0,"['nanoparticle-based base mouse', 'nanoparticle-based base injection', 'vaccine base mouse', 'vaccine base injection']",235,nanoparticle-based vaccines ie nanovaccines well tolerated mice causing inflammatory lesions site injection 
73,20.0,6.0,"['animal vaccinate cd8 cells', 'animal vaccinate ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³', 'animal vaccinate tnf-Ã\x83\x83Ã\x83\x82', 'animal vaccinate cytokine', 'animal vaccinate ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³', 'animal vaccinate vaccine', 'animal continue cd8 cells', 'animal continue ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³', 'animal continue tnf-Ã\x83\x83Ã\x83\x82', 'animal continue cytokine', 'animal continue ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³', 'animal continue vaccine', 'animal induce cd8 cells', 'animal induce cytokine', 'animal induce ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³', 'animal induce vaccine', 'ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³ induce cd8 cells', 'ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³ induce cytokine', 'ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³ induce animal', 'ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³ induce vaccine']",237,following challenge animals vaccinated pan-cf continued produce significant levels double ifn-ÃÂ³ tnf-ÃÂ single cytokine ifn-ÃÂ³ secreting cd8 cells compared animals vaccinated inactivated vaccine 
74,20.0,8.0,"['polyanhydride induce immunity', 'polyanhydride induce intracellular', 'polyanhydride induce intracellular', 'immunity induce intracellular']",239,overall use polyanhydride nanovaccines resulted development protective sustained immunity johneÃÂÂs disease approach could applied counter intracellular pathogens 
75,21.0,0.0,"['two-dose provide sars-cov-2', 'two-dose provide vaccine', 'mrna provide sars-cov-2', 'mrna provide vaccine']",240,although two-dose mrna vaccination provides excellent protection sars-cov-2 little information vaccine efficacy variants concern voc individuals eighty years age 1 
76,21.0,2.0,"['serum bind eighty years', 'serum bind vaccine', 'serum bind participant', 'igg bind eighty years', 'igg bind vaccine', 'igg bind participant', 'serum dose eighty years', 'serum dose participant', 'igg dose eighty years', 'igg dose participant', 'iga dose eighty years', 'iga dose participant', 'vaccine dose eighty years', 'vaccine dose participant']",242,serum neutralization levels binding igg iga first vaccine dose lower older individuals marked drop participants eighty years old 
77,21.0,3.0,"['participant show alpha', 'participant show b1351', 'participant show beta', 'eighty show alpha', 'eighty show b1351', 'eighty show beta']",243,sera participants eighty showed lower neutralization potency b117 alpha b1351 beta p1 
78,21.0,7.0,['participant show cell'],247,elderly participants showed clear reduction somatic hypermutation class-switched cells 
79,22.0,0.0,"['sars-cov-2 induce health professionals', 'sars-cov-2 induce spain', 'sars-cov-2 induce 12-15']",250,background sars-cov-2 infection presents high transmission group health professionals spain 12-15 infected 
